,ticker,context_window,fz_loss_25,gr_loss_1,gr_loss_25,fz_loss_25_min
3,AAPL,60,-3.2534584987957103,0.5892241597218478,1.201322767377911,-3.2534584987957103
8,ADA,10,-1.8979323664259027,1.7412958727412455,3.668268534452955,-1.8979323664259027
18,AUDUSD,125,-3.7424358275540213,0.32282723652018264,0.8342867651820993,-3.7424358275540213
27,BAC,500,-3.0038670775294567,0.776128606336118,1.65935954405716,-3.0038670775294567
28,BNB,5,-1.8667426949908354,1.975307086146034,4.164373428260122,-1.8667426949908354
35,BTC,5,-1.6620256733233802,2.5371028632753463,5.13680142331935,-1.6620256733233802
47,CL,375,-2.815576400490481,0.8004548506738786,1.7152194071837137,-2.815576400490481
52,ETH,60,-2.014747260454638,1.5153172168154676,3.2888028484566334,-2.014747260454638
61,EURUSD,375,-4.175533064681197,0.16707687040112923,0.3693149599450052,-4.175533064681197
69,GBPUSD,500,-4.110035392286707,0.17552112990892083,0.377521417182287,-4.110035392286707
73,GC,60,-3.4645211666245395,0.4005210335087236,0.7519084499243684,-3.4645211666245395
82,GOOG,375,-2.988349854965252,0.801342984128153,1.3744957481938591,-2.988349854965252
87,HG,60,-2.9581263724137346,0.5994877739495916,1.2406142177936446,-2.9581263724137346
94,JPM,60,-2.865428269451735,0.7090064759948225,1.54859052778391,-2.865428269451735
101,MSFT,60,-3.2736715587615905,0.5208828783237707,1.0262986216742185,-3.2736715587615905
109,NDQ,125,-3.7030976926063786,0.34888236236080566,0.7248512334498839,-3.7030976926063786
116,NG,125,-2.771738579205287,0.7551525337866299,1.5584911634795209,-2.771738579205287
122,NKX,60,-3.2508114816385807,0.5884454445256656,1.1032951469913144,-3.2508114816385807
127,SI,10,-2.623306089627105,0.9504650395216727,2.026521231497958,-2.623306089627105
139,SPX,500,-3.6924543617405994,0.2764022490399206,0.6779286398109806,-3.6924543617405994
142,TWSE,20,-3.620681453115332,0.3769343496168795,0.7514365619833215,-3.620681453115332
150,UKX,60,-3.512042674399878,0.3305305201959551,0.6942189897912335,-3.512042674399878
158,USDCAD,125,-4.164711425759069,0.17101941327879622,0.35708361223407004,-4.164711425759069
167,USDJPY,500,-4.393269918748318,0.15613356613824494,0.3264742309732972,-4.393269918748318
171,XRP,60,-2.207414822022367,1.436412196915064,3.0025113384990743,-2.207414822022367
